step,epoch,train_loss,eval_loss
50,0.1,3.4865,3.0804
100,0.2,3.5148,3.0656
150,0.3,3.5009,3.0491
200,0.4,3.3651,3.0508
250,0.5,3.4368,3.0518
300,0.6,3.4158,3.0479
350,0.7,3.443,3.047
400,0.8,3.5223,3.0414
450,0.9,3.3976,3.0377
500,1.0,3.4486,3.0305
550,1.1,3.3524,3.0387
600,1.2,3.4488,3.031
650,1.3,3.3613,3.0306
700,1.4,3.3858,3.0267
750,1.5,3.3286,3.0305
800,1.6,3.3775,3.0249
850,1.7,3.3935,3.0248
900,1.8,3.3447,3.0288
950,1.9,3.4278,3.0188
1000,2.0,3.4391,3.0166
1050,2.1,3.3186,3.019
1100,2.2,3.3443,3.017
1150,2.3,3.3836,3.0158
1200,2.4,3.3436,3.0153
1250,2.5,3.2861,3.0183
1300,2.6,3.3701,3.0179
1350,2.7,3.3226,3.0177
1400,2.8,3.384,3.0167
1450,2.9,3.2978,3.0163
1500,3.0,3.2887,3.0163
